
ID	Entity	Description	Function
118	DD4	Ventral cord motor neurons, reciprocal inhibitors,	Sinusoidal body movement. DD's receive input from VA and VB neurons, and hence, are likely to be active during ventral muscle contractions. They form neuromuscular junctions dorsally that coordinately relax the dorsal muscles during ventral muscle contraction (Driscoll and Kaplan, 1997). D-type neurons may also regulate the wave amplitude of the sinusoidal movement since unc-25 and unc-30 mutants that lack functional D neurons generate rhythmic sinusoidal movement with a reduced amplitude (McIntire et al., 1993).
119	DD5	Ventral cord motor neurons, reciprocal inhibitors,	Sinusoidal body movement. DD's receive input from VA and VB neurons, and hence, are likely to be active during ventral muscle contractions. They form neuromuscular junctions dorsally that coordinately relax the dorsal muscles during ventral muscle contraction (Driscoll and Kaplan, 1997). D-type neurons may also regulate the wave amplitude of the sinusoidal movement since unc-25 and unc-30 mutants that lack functional D neurons generate rhythmic sinusoidal movement with a reduced amplitude (McIntire et al., 1993).
120	DD6	Ventral cord motor neurons, reciprocal inhibitors,	Sinusoidal body movement. DD's receive input from VA and VB neurons, and hence, are likely to be active during ventral muscle contractions. They form neuromuscular junctions dorsally that coordinately relax the dorsal muscles during ventral muscle contraction (Driscoll and Kaplan, 1997). D-type neurons may also regulate the wave amplitude of the sinusoidal movement since unc-25 and unc-30 mutants that lack functional D neurons generate rhythmic sinusoidal movement with a reduced amplitude (McIntire et al., 1993).
121	DVA	Ring interneurons, cell bodies in dorsorectal gang	Mechanosensory integration. The PVD and DVA neurons are presynaptic to both the forward and backing interneurons, and provide input to both the anterior and posterior touch circuits. Animals lacking these neurons respond to tap stimulus with diminished forward accelerations and reversals. These neurons, therefore, seem to maintain the overall activity of the touch circuit (Wicks et al., 1996; Driscoll and Kaplan, 1997; Goodman, 2007). DVA represents a stretch receptor neuron that regulates sensory-motor integration during C. elegans locomotion. trp-4, a homologue of the mechanosensitive TRPN channel, acts as a stretch-sensitive proprioceptor in DVA. DVA both positively and negatively modulates locomotion, providing a unique mechanism whereby a single neuron can fine-tune motor activity (Li et al., 2006).
122	DVB	An excitatory GABAergic motor neuron/interneuron l	Defecation. AVL and DVB are excitatory GABAergic motor neurons for the enteric muscles (Avery and Thomas, 1997; McIntire et al., 1993). Together with AVL, activates expulsion muscle contraction (E.p or EMC).
123	DVC	Ring interneurons, cell bodies in dorsorectal gang	 
124	FLPL	Have ciliated endings in head, not part of a sensi	Nose touch avoidance. Nose-on collision with an object such as an eyelash initiates backward movement of C. elegans. Three classes of mechanosensory neurons (ASH, FLP, and OLQ) act in parallel to mediate this response. Each sensory neuron class accounts for a fraction of the normal response, as follows: ASH, 45%; FLP, 29%; and OLQ, 5%. The remaining responses (~10%) are mediated by the ALM and AVM neurons, which sense anterior body touch (Kaplan and Driscoll, 1997; Goodman, 2006).
125	FLPR	Have ciliated endings in head, not part of a sensi	Nose touch avoidance. Nose-on collision with an object such as an eyelash initiates backward movement of C. elegans. Three classes of mechanosensory neurons (ASH, FLP, and OLQ) act in parallel to mediate this response. Each sensory neuron class accounts for a fraction of the normal response, as follows: ASH, 45%; FLP, 29%; and OLQ, 5%. The remaining responses (~10%) are mediated by the ALM and AVM neurons, which sense anterior body touch (Kaplan and Driscoll, 1997; Goodman, 2006).
126	HSNL	Hermaphrodite specific motor neurons. These cells	Innervate the vulval muscles and stimulate egg laying by hermaphrodites. Laser ablation of both HSN neurons results in animals that fail to lay eggs normally and become severely bloated with eggs retained in the uterus (egl phenotype). HSN neurons are the only neurons of the egg-laying circuitry, as defined by the synaptic connectivity, that have been shown to be required for normal egg-laying (Chalfie and White, 1988). Hermaphrodites that lack the HSN motor neurons do lay eggs in response to exogenous serotonin (Trent et al, 1983).
127	HSNR	Hermaphrodite specific motor neurons. These cells	Innervate the vulval muscles and stimulate egg laying by hermaphrodites. Laser ablation of both HSN neurons results in animals that fail to lay eggs normally and become severely bloated with eggs retained in the uterus (egl phenotype). HSN neurons are the only neurons of the egg-laying circuitry, as defined by the synaptic connectivity, that have been shown to be required for normal egg-laying (Chalfie and White, 1988). Hermaphrodites that lack the HSN motor neurons do lay eggs in response to exogenous serotonin (Trent et al, 1983).
128	I1L	Pharyngeal interneurons. The anterior projections	The pharyngeal and somatic nervous systems are connected to each other via gap junctions between the extrapharyngeal RIP neurons and the pharyngeal I1 neurons. When this connection is disrupted by ablation of RIPs, pharyngeal pumping becomes unresponsive to light touch which is sensed by somatic touch neurons (Avery and Thomas, 1997). I1s also synapse on MC neurons and modulate the rate of pharyngeal pumping in the absence of bacteria (Avery and Thomas, 1997).
129	I1R	Pharyngeal interneurons. The anterior projections	The pharyngeal and somatic nervous systems are connected to each other via gap junctions between the extrapharyngeal RIP neurons and the pharyngeal I1 neurons. When this connection is disrupted by ablation of RIPs, pharyngeal pumping becomes unresponsive to light touch which is sensed by somatic touch neurons (Avery and Thomas, 1997). I1s also synapse on MC neurons and modulate the rate of pharyngeal pumping in the absence of bacteria (Avery and Thomas, 1997).
130	I2L	Pharyngeal interneurons. At the most anterior end	Unknown or redundant (Avery and Thomas, 1997).
131	I2R	Pharyngeal interneurons. At the most anterior end	Unknown or redundant (Avery and Thomas, 1997).
132	I3	Pharyngeal interneuron. Anteriorly, I3 is inserted	Unknown or redundant (Avery and Thomas, 1997).
133	I4	Pharyngeal interneuron. The soma of I4 is located	Unknown or redundant (Avery and Thomas, 1997).
134	I5	Pharyngeal interneuron. I5 has a very large cell b	M3 and I5 are suggested to facilitate bacterial trapping by regulating the relative duration of muscle relaxation in different regions of the pharynx (Avery, 1993). Pharyngeal relaxation becomes quicker when I5 is ablated. When both I5 and M3 are ablated there is a delay in relaxation that is indistinguishable from that caused by ablation of M3 alone, suggesting I5 slows down relaxation by inhibiting M3 (Avery and Thomas, 1997)
135	I6	A bipolar pharyngeal interneuron. Its shorter proc	Unknown or redundant (Avery and Thomas, 1997).
136	IL1DL	Neurons of inner labial sensilla, ciliated endings	When worms are touched on either the dorsal or ventral sides of their nose with an eyelash, they interrupt the normal pattern of foraging and undergo an aversive head-withdrawal reflex. This simple reflex is mediated by two classes of mechanosensory neurons (OLQ and IL1) and their synaptic targets, the RMD motor neurons. Killing any of these cells, alone or in combination, diminishes the head withdrawal reflex. IL1, OLQ, and RMD also regulate spontaneous foraging movements. Laser operated animals lacking IL1 and OLQ forage abnormally slowly and make exaggerated dorsal and ventral nose turns (Hart et al., 1995; Kaplan and Driscoll, 1997; Goodman, 2006).
137	IL1DR	Neurons of inner labial sensilla, ciliated endings	When worms are touched on either the dorsal or ventral sides of their nose with an eyelash, they interrupt the normal pattern of foraging and undergo an aversive head-withdrawal reflex. This simple reflex is mediated by two classes of mechanosensory neurons (OLQ and IL1) and their synaptic targets, the RMD motor neurons. Killing any of these cells, alone or in combination, diminishes the head withdrawal reflex. IL1, OLQ, and RMD also regulate spontaneous foraging movements. Laser operated animals lacking IL1 and OLQ forage abnormally slowly and make exaggerated dorsal and ventral nose turns (Hart et al., 1995; Kaplan and Driscoll, 1997; Goodman, 2006).
138	IL1L	Neurons of inner labial sensilla, ciliated endings	When worms are touched on either the dorsal or ventral sides of their nose with an eyelash, they interrupt the normal pattern of foraging and undergo an aversive head-withdrawal reflex. This simple reflex is mediated by two classes of mechanosensory neurons (OLQ and IL1) and their synaptic targets, the RMD motor neurons. Killing any of these cells, alone or in combination, diminishes the head withdrawal reflex. IL1, OLQ, and RMD also regulate spontaneous foraging movements. Laser operated animals lacking IL1 and OLQ forage abnormally slowly and make exaggerated dorsal and ventral nose turns (Hart et al., 1995; Kaplan and Driscoll, 1997; Goodman, 2006).
139	IL1R	Neurons of inner labial sensilla, ciliated endings	When worms are touched on either the dorsal or ventral sides of their nose with an eyelash, they interrupt the normal pattern of foraging and undergo an aversive head-withdrawal reflex. This simple reflex is mediated by two classes of mechanosensory neurons (OLQ and IL1) and their synaptic targets, the RMD motor neurons. Killing any of these cells, alone or in combination, diminishes the head withdrawal reflex. IL1, OLQ, and RMD also regulate spontaneous foraging movements. Laser operated animals lacking IL1 and OLQ forage abnormally slowly and make exaggerated dorsal and ventral nose turns (Hart et al., 1995; Kaplan and Driscoll, 1997; Goodman, 2006).
140	IL1VL	Neurons of inner labial sensilla, ciliated endings	When worms are touched on either the dorsal or ventral sides of their nose with an eyelash, they interrupt the normal pattern of foraging and undergo an aversive head-withdrawal reflex. This simple reflex is mediated by two classes of mechanosensory neurons (OLQ and IL1) and their synaptic targets, the RMD motor neurons. Killing any of these cells, alone or in combination, diminishes the head withdrawal reflex. IL1, OLQ, and RMD also regulate spontaneous foraging movements. Laser operated animals lacking IL1 and OLQ forage abnormally slowly and make exaggerated dorsal and ventral nose turns (Hart et al., 1995; Kaplan and Driscoll, 1997; Goodman, 2006).
141	IL1VR	Neurons of inner labial sensilla, ciliated endings	When worms are touched on either the dorsal or ventral sides of their nose with an eyelash, they interrupt the normal pattern of foraging and undergo an aversive head-withdrawal reflex. This simple reflex is mediated by two classes of mechanosensory neurons (OLQ and IL1) and their synaptic targets, the RMD motor neurons. Killing any of these cells, alone or in combination, diminishes the head withdrawal reflex. IL1, OLQ, and RMD also regulate spontaneous foraging movements. Laser operated animals lacking IL1 and OLQ forage abnormally slowly and make exaggerated dorsal and ventral nose turns (Hart et al., 1995; Kaplan and Driscoll, 1997; Goodman, 2006).
142	IL2DL	Neurons of inner labial sensilla, ciliated endings. Found in nose.	 
143	IL2DR	Neurons of inner labial sensilla, ciliated endings. Found in nose.	 
144	IL2L	Neurons of inner labial sensilla, ciliated endings	 
145	IL2R	Neurons of inner labial sensilla, ciliated endings	 
146	IL2VL	Neurons of inner labial sensilla, ciliated endings	 
147	IL2VR	Neurons of inner labial sensilla, ciliated endings	 
148	LUAL	Interneuron, short process in post ventral cord	Suggested to be a "connector cell" between the PLM touch receptors, with which they make gap junctions along the lumbar commissures, and AVA/D interneurons, with which they make chemical synapses in the ventral cord (Chalfie et al., 1985). However, laser ablation does not lead to any abnormalities of movement or touch sensitivity (Chalfie et al., 1985) and no role in tap-withdrawal reflex has been found (Wicks and Rankin, 1995).
149	LUAR	Interneuron, short process in post ventral cord	Suggested to be a "connector cell" between the PLM touch receptors, with which they make gap junctions along the lumbar commissures, and AVA/D interneurons, with which they make chemical synapses in the ventral cord (Chalfie et al., 1985). However, laser ablation does not lead to any abnormalities of movement or touch sensitivity (Chalfie et al., 1985) and no role in tap-withdrawal reflex has been found (Wicks and Rankin, 1995).
150	M1	The cell body of M1 is located subdorsally between	Unknown or redundant (Avery and Thomas, 1997).
151	M2L	M2L/R are a pair of unipolar neurons with processe	Unknown or redundant (Avery and Thomas, 1997; Chiang et al., 2002).
152	M2R	M2L/R are a pair of unipolar neurons with processe	Unknown or redundant (Avery and Thomas, 1997; Chiang et al., 2002).
153	M3L	M3s are a bilaterally symmetric pair of inhibitory	M3s modulate the timing of pharyngeal relaxation in corpus and promote rapid relaxation of the pharyngeal muscle following contraction. When M3s are decoupled from the pharyngeal muscle by mutating the postsynaptic receptor (a glutamate-gated chloride channel partly encoded by avr-15) for M3 neurotransmission, the duration of pharyngeal contraction increases (Dent et al., 1997). Each M3 is suggested to be proprioceptive and fire in response to corpus muscle contraction, which, in turn, induces inhibitory postsynaptic potentials (repolarization) and relaxation of the muscle. This relaxation seems to be important for effective transport of bacteria within the lumen (Avery and Thomas, 1997). Exogenous serotonin mimics the presence of food and induces rapid contraction-relaxation cycles with shortened action potentials in pharynx. This effect is dependent on MC and M3 neurons (see model below) (Niacaris and Avery, 2003).
154	M3R	M3s are a bilaterally symmetric pair of inhibitory	M3s modulate the timing of pharyngeal relaxation in corpus and promote rapid relaxation of the pharyngeal muscle following contraction. When M3s are decoupled from the pharyngeal muscle by mutating the postsynaptic receptor (a glutamate-gated chloride channel partly encoded by avr-15) for M3 neurotransmission, the duration of pharyngeal contraction increases (Dent et al., 1997). Each M3 is suggested to be proprioceptive and fire in response to corpus muscle contraction, which, in turn, induces inhibitory postsynaptic potentials (repolarization) and relaxation of the muscle. This relaxation seems to be important for effective transport of bacteria within the lumen (Avery and Thomas, 1997). Exogenous serotonin mimics the presence of food and induces rapid contraction-relaxation cycles with shortened action potentials in pharynx. This effect is dependent on MC and M3 neurons (see model below) (Niacaris and Avery, 2003).
155	M4	The cell body of M4 is located dorsally at the lev	M4 is essential for feeding in wild- type worms. M4 synapses on the isthmus and the terminal bulb, and is necessary for posterior isthmus peristalsis (Avery and Thomas, 1997). Worms lacking M4 continue pumping, however, bacteria become trapped in corpus and anterior isthmus and these worms fail to grow since they can not pass the food to their intestines.
156	M5	M5 is located subdorsally on the left, posterior t	Unknown or redundant (Avery and Thomas, 1997).
157	MCL	MC's are a pair of cholinergic excitatory (motor)	MC's control the frequency of pharyngeal pumping (Avery and Thomas, 1997). They initiate pharyngeal muscle action potentials, and hence, function as pacemakers of pumping. Release of Ach from MC neurons stimulates the muscle via a postsynaptic nicotinic ACh receptor encoded by eat-2 (Niacaris and Avery, 2003; McKay et al., 2004). In eat-2 mutants MC is decoupled from pharyngeal muscle and the pharynx is unable to pump rapidly in the presence of food. Modulators of pharyngeal pumping such as exogenous serotonin mostly act through MC neurons.
158	MCR	MC's are a pair of cholinergic excitatory (motor)	MC's control the frequency of pharyngeal pumping (Avery and Thomas, 1997). They initiate pharyngeal muscle action potentials, and hence, function as pacemakers of pumping. Release of Ach from MC neurons stimulates the muscle via a postsynaptic nicotinic ACh receptor encoded by eat-2 (Niacaris and Avery, 2003; McKay et al., 2004). In eat-2 mutants MC is decoupled from pharyngeal muscle and the pharynx is unable to pump rapidly in the presence of food. Modulators of pharyngeal pumping such as exogenous serotonin mostly act through MC neurons.
159	MI	MI is a unipolar neuron which is located in the do	Unknown or redundant (Avery and Thomas, 1997).
160	NSML	NSM cell bodies are located in the pharyngeal subv	Initially suggested to have neurohumoral function signaling the presence of food to the body since NSM's appear secretory by morphology and have processes that run in close apposition to the pseudocoelom over most of their lengths (Albertson and Thomson, 1976, Avery and Thomas, 1997). They were postulated to sense bacteria in their lumen by their proprioceptive endings and transmit this to the rest of the body by secretions to the pseudocoelomic fluid. The presence of food leads to increased pharyngeal pumping, decreased locomotion and increased egg-laying behavior. Exogenous application of serotonin also induces these responses supporting the hypothesis NSM's can function neurohumorally by serotonin secretion. However, ablation of NSM's have only subtle effects on pumping suggesting they may not play any important role in this behavior (Avery et al., 1993, Avery and Thomas, 1997). When placed on a bacterial lawn, previously food-deprived animals slow down their locomotion to a higher degree compared to well-fed animals. This phenomenon is described as "the enhanced slowing response". When NSM's are ablated there is a small but significant decrease in the enhanced slowing response suggesting NSM's contribute to this behavior (Sawin et al., 2000).
161	NSMR	NSM cell bodies are located in the pharyngeal subv	Initially suggested to have neurohumoral function signaling the presence of food to the body since NSM's appear secretory by morphology and have processes that run in close apposition to the pseudocoelom over most of their lengths (Albertson and Thomson, 1976, Avery and Thomas, 1997). They were postulated to sense bacteria in their lumen by their proprioceptive endings and transmit this to the rest of the body by secretions to the pseudocoelomic fluid. The presence of food leads to increased pharyngeal pumping, decreased locomotion and increased egg-laying behavior. Exogenous application of serotonin also induces these responses supporting the hypothesis NSM's can function neurohumorally by serotonin secretion. However, ablation of NSM's have only subtle effects on pumping suggesting they may not play any important role in this behavior (Avery et al., 1993, Avery and Thomas, 1997). When placed on a bacterial lawn, previously food-deprived animals slow down their locomotion to a higher degree compared to well-fed animals. This phenomenon is described as "the enhanced slowing response". When NSM's are ablated there is a small but significant decrease in the enhanced slowing response suggesting NSM's contribute to this behavior (Sawin et al., 2000).
162	OLLL	Neurons of outer labial lateral sensilla, ciliated	Putative mechanosensory.
163	OLLR	Neurons of outer labial lateral sensilla, ciliated	Putative mechanosensory.
164	OLQDL	Neurons of outer labial lateral sensilla, ciliated	When worms are touched on either the dorsal or ventral sides of their nose with an eyelash, they interrupt the normal pattern of foraging and undergo an aversive head-withdrawal reflex. This simple reflex is mediated by two classes of mechanosensory neurons (OLQ and IL1) and their synaptic targets, the RMD motor neurons. Killing any of these cells, alone or in combination, diminishes the head withdrawal reflex. IL1, OLQ, and RMD also regulate spontaneous foraging movements. Laser operated animals lacking IL1 and OLQ forage abnormally slowly and make exaggerated dorsal and ventral nose turns (Hart et al., 1995; Kaplan and Driscoll, 1997; Goodman, 2006).
165	OLQDR	Neurons of outer labial lateral sensilla, ciliated	When worms are touched on either the dorsal or ventral sides of their nose with an eyelash, they interrupt the normal pattern of foraging and undergo an aversive head-withdrawal reflex. This simple reflex is mediated by two classes of mechanosensory neurons (OLQ and IL1) and their synaptic targets, the RMD motor neurons. Killing any of these cells, alone or in combination, diminishes the head withdrawal reflex. IL1, OLQ, and RMD also regulate spontaneous foraging movements. Laser operated animals lacking IL1 and OLQ forage abnormally slowly and make exaggerated dorsal and ventral nose turns (Hart et al., 1995; Kaplan and Driscoll, 1997; Goodman, 2006).
166	OLQVL	Neurons of outer labial lateral sensilla, ciliated	When worms are touched on either the dorsal or ventral sides of their nose with an eyelash, they interrupt the normal pattern of foraging and undergo an aversive head-withdrawal reflex. This simple reflex is mediated by two classes of mechanosensory neurons (OLQ and IL1) and their synaptic targets, the RMD motor neurons. Killing any of these cells, alone or in combination, diminishes the head withdrawal reflex. IL1, OLQ, and RMD also regulate spontaneous foraging movements. Laser operated animals lacking IL1 and OLQ forage abnormally slowly and make exaggerated dorsal and ventral nose turns (Hart et al., 1995; Kaplan and Driscoll, 1997; Goodman, 2006).
167	OLQVR	Neurons of outer labial lateral sensilla, ciliated	When worms are touched on either the dorsal or ventral sides of their nose with an eyelash, they interrupt the normal pattern of foraging and undergo an aversive head-withdrawal reflex. This simple reflex is mediated by two classes of mechanosensory neurons (OLQ and IL1) and their synaptic targets, the RMD motor neurons. Killing any of these cells, alone or in combination, diminishes the head withdrawal reflex. IL1, OLQ, and RMD also regulate spontaneous foraging movements. Laser operated animals lacking IL1 and OLQ forage abnormally slowly and make exaggerated dorsal and ventral nose turns (Hart et al., 1995; Kaplan and Driscoll, 1997; Goodman, 2006).
168	PDA	During the second larval stage (L2), the rectal ep	Innervates posterior dorsal body wall muscles.
169	PDB	Motor neuron. Born postembryonically. Sends proces	Innervates posterior dorsal body wall muscles.
170	PDEL	Posterior deirids, postembryonically born. Sensory	When well-fed C. elegans hermaphrodites are washed clean of bacteria and then reintroduced to the bacterial lawn, they move more slowly than when transferred to an environment without bacteria. This behavior is described as "basal slowing response". The three classes of dopaminergic neurons (CEPs, ADEs, and PDEs) function redundantly to sense the mechanosensory stimulus from bacteria and mediate the motor circuit to control this behavioral change (Sawin et al., 2000).
171	PDER	Posterior deirids, postembryonically born. Sensory	When well-fed C. elegans hermaphrodites are washed clean of bacteria and then reintroduced to the bacterial lawn, they move more slowly than when transferred to an environment without bacteria. This behavior is described as "basal slowing response". The three classes of dopaminergic neurons (CEPs, ADEs, and PDEs) function redundantly to sense the mechanosensory stimulus from bacteria and mediate the motor circuit to control this behavioral change (Sawin et al., 2000).
172	PHAL	Phasmid neurons, chemosensory	Express neuropeptide-like proteins, NLP-7 and NLP-14 (Nathoo et al., 2001).
173	PHAR	Phasmid neurons, chemosensory	Express neuropeptide-like proteins, NLP-7 and NLP-14 (Nathoo et al., 2001).
174	PHBL	Phasmid neurons, chemosensory	Modulate chemorepulsion behavior in worms (Hilliard et al., 2002).
175	PHBR	Phasmid neurons, chemosensory	Modulate chemorepulsion behavior in worms (Hilliard et al., 2002).
176	PHCL	Neuron, striated rootlet in male, possibly sensory	Mechanosensory
177	PHCR	Neuron, striated rootlet in male, possibly sensory	Mechanosensory
178	PLML	Posterior lateral microtubule cells, touch recepto	Along with AVM and ALM, sense touch to the body and provide input to the command (inter)neurons (PVC, AVB, AVD, AVA) via both synaptic connections and gap junctions (Chalfie et al., 1985). The touch cells form gap junctions with agonist interneurons and chemical synapses with the antagonist interneurons. Hence, the anterior touch cells PLML/R form gap junctions with the forward movement interneuron PVC, but they provide synaptic input to the backward interneurons AVA and AVD (Kaplan and Driscoll, 1997; Goodman, 2006).
179	PLMR	Posterior lateral microtubule cells, touch recepto	Along with AVM and ALM, sense touch to the body and provide input to the command (inter)neurons (PVC, AVB, AVD, AVA) via both synaptic connections and gap junctions (Chalfie et al., 1985). The touch cells form gap junctions with agonist interneurons and chemical synapses with the antagonist interneurons. Hence, the anterior touch cells PLML/R form gap junctions with the forward movement interneuron PVC, but they provide synaptic input to the backward interneurons AVA and AVD (Kaplan and Driscoll, 1997; Goodman, 2006).
180	PLNL	The processes of PLN's run closely associated with	 
181	PLNR	The processes of PLN's run closely associated with	 
182	PQR	Single neuron with basal body. It is directly expo	Along with AQR, URX and AUA, PQR regulate social feeding (or aggregation on a bacterial lawn) and bordering (the accumulation of animals on the thickest part of a bacterial lawn) behavior since suppressing the activity of AQR, PQR, and URX neurons inhibits social feeding (Coates and de Bono , 2002). AQR, PQR and URX function as sensors of environmental oxygen which is a quantitative regulator of social feeding (Gray et al., 2004). Decreases in oxygen leads to a dose-dependent suppression of social feeding behavior and bordering. Oxygen acts in parallel to NPR-1 in regulating social feeding behavior.
183	PVCL	Ventral cord interneuron, cell body in lumbar gang	 
184	PVCR	Ventral cord interneuron, cell body in lumbar gang	 
185	PVDL	Born postembryonically (see V lineage). PVDL/R hav	Putative stretch-sensing mechanosensor. PVD mediates a response to harsh mechanical stimuli (Way and Chalfie, 1989). Animals in which PVD neurons are laser-ablated fail to respond to harsh touch to the central region of the body but can can respond to harsh head and tail tap. PVD is possibly not involved in the circuit that mediates suppression of pumping in response to a touch stimulus in adults (Keane and Avery, 2003)
186	PVDR	Born postembryonically (see V lineage). PVDL/R hav	Putative stretch-sensing mechanosensor. PVD mediates a response to harsh mechanical stimuli (Way and Chalfie, 1989). Animals in which PVD neurons are laser-ablated fail to respond to harsh touch to the central region of the body but can can respond to harsh head and tail tap. PVD is possibly not involved in the circuit that mediates suppression of pumping in response to a touch stimulus in adults (Keane and Avery, 2003)
187	PVM	Posterior ventral microtubule cell, generated post	PVM is ultrastructurally very similar to the other touch cells, and its differentiation is controlled by the same genetic pathway that controls differentiation of the other five touch receptor neurons. However, PVM does not mediate a locomotory response to gentle touch (Chalfie and Sulston, 1981) and does not appear to have a critical role in touch sensitivity (for discussion see Kaplan and Driscoll, 1997; Goodman, 2006). It is postulated to be a stretch receptor.
188	PVNL	Interneuron/motor neuron, post. vent. cord, few sy	 
189	PVNR	Interneuron/motor neuron, post. vent. cord, few sy	 
190	PVPL	Interneuron. Differences in connectivity observed	Along with PVQL, PVPR pioneers the left side ventral cord and this function appears to be a joint action of these two processes. When PVPR precursor is ablated in the embryo, PVQL and AVKR growth cones migrate towards the right side. (Durbin, 1987; Antebi et al., 1997).
191	PVPR	Interneuron. Differences in connectivity observed	Along with PVQL, PVPR pioneers the left side ventral cord and this function appears to be a joint action of these two processes. When PVPR precursor is ablated in the embryo, PVQL and AVKR growth cones migrate towards the right side. (Durbin, 1987; Antebi et al., 1997).
192	PVQL	Interneurons, project along ventral cord to ring	Along with PVPR, PVQL pioneers the left hand ventral cord. This function appears to be a joint action of these two processes (Durbin, 1987).
193	PVQR	Interneuron, projects along ventral cord to ring	Along with PVPR, PVQL pioneers the left hand ventral cord. This function appears to be a joint action of these two processes (Durbin, 1987).
194	PVR	Interneuron, projects along ventral cord to ring	 
195	PVT	Interneuron, projects along ventral cord to ring.	Midline neuroblast, secretes UNC-6, serves as a guidepost neuron to guide growing axons from the lumbar ganglia in the posteriormost region of the ventral cord. When PVT is ablated embryonically, these axons follow multiple routes to enter the ventral cord instead of making tight bundles (Antebi et al., 1997; Ren et al., 1999). Postembryonically, PVT functions to keep the ventral cord fascicles intact. Early larval ablation of PVT induces axons of AVKL/R, PVQL/R, HSNL/R and RMEV to aberrantly cross the ventral midline (Aurelio et al., 2002).
196	PVWL	Interneuron, posterior ventral cord, few synapses	 
197	PVWR	Interneuron, posterior ventral cord, few synapses	 
198	RIAL	These neurons receive synaptic inputs from AIY and	- Functions in thermotaxis: A mutation that impairs the function RIA neurons or laser ablation of RIA cause athermotactic or cryophilic behavior. However, killing RIA neurons has no effect on chemotaxis (Iino and Yoshida, 2009; Tanizawa et al., 2006; Mori and Ohshima 1995). In the original two-drive (thermophilic vs cryophilic) model of thermotaxis, RIA is suggested to integrate signals processed in the thermotaxis neural circuit and emit outputs to downstream neurons (Mori and Ohshima, 1995; Tanizawa et al, 2006). Multiple transmissions including EAT-4-dependent glutamate from RIA are involved in communicating processed information to downstream neurons, thereby generating ultimate thermotactic outputs (Ohnishi et al, 2011). Although it is not clear as to which neurons downstream of RIA are main component neurons in the circuit, RIA is heavily connected presynaptically to SMD or RMD head motor neurons that regulate turning behavior, suggesting SMD and RMD control turn frequency and run duration depending on the thermal information transmitted by RIA (Ohnishi et al, 2011; Zariwala et al, 2003; White et al, 1986; Gray et al, 2005).
199	RIAR	These neurons receive synaptic inputs from AIY and	- Functions in thermotaxis: A mutation that impairs the function RIA neurons or laser ablation of RIA cause athermotactic or cryophilic behavior. However, killing RIA neurons has no effect on chemotaxis (Iino and Yoshida, 2009; Tanizawa et al., 2006; Mori and Ohshima 1995). In the original two-drive (thermophilic vs cryophilic) model of thermotaxis, RIA is suggested to integrate signals processed in the thermotaxis neural circuit and emit outputs to downstream neurons (Mori and Ohshima, 1995; Tanizawa et al, 2006). Multiple transmissions including EAT-4-dependent glutamate from RIA are involved in communicating processed information to downstream neurons, thereby generating ultimate thermotactic outputs (Ohnishi et al, 2011). Although it is not clear as to which neurons downstream of RIA are main component neurons in the circuit, RIA is heavily connected presynaptically to SMD or RMD head motor neurons that regulate turning behavior, suggesting SMD and RMD control turn frequency and run duration depending on the thermal information transmitted by RIA (Ohnishi et al, 2011; Zariwala et al, 2003; White et al, 1986; Gray et al, 2005).
200	RIBL	Ring interneuron	 
201	RIBR	Ring interneuron	 
202	RICL	Ring interneuron	 
203	RICR	Ring interneuron	 
204	RID	Ring interneuron, projects along dorsal cord	 
205	RIFL	Ring interneuron	 
206	RIFR	Ring interneuron	 
207	RIGL	Ring interneuron	 
208	RIGR	Ring interneuron	 
209	RIH	Ring interneuron	 
210	RIML	Ring motor neuron	 
211	RIMR	Ring motor neuron	 
212	RIPL	Ring/pharynx interneuron, only direct connection b	 
213	RIPR	Ring/pharynx interneuron, only direct connection b	 
214	RIR	Ring interneuron	 
215	RIS	Ring interneuron	 
216	RIVL	Ring interneuron	Functions in locomotion: After animals are removed from bacterial food, they initiate a local search behavior consisting of reversals and deep omega-shaped turns. This is followed by dispersal ~30 min later as reversal and turns are suppressed. Local search behavior is triggered by AWC olfactory neurons, ASK gustatory neurons, and AIB interneurons while dispersal is promoted by ASI gustatory neurons and AIY interneurons (Gray et al., 2005). Downstream of AIB and AIY, motor neuron sdefine specific aspects of reversal and turn frequency, amplitude, and directionality. SMD motor neurons define the steep amplitude of omega turns, RIV motor neurons specify the ventral bias of turns that follow a reversal, and SMB motor neurons set the amplitude of sinusoidal movement.
217	RIVR	Ring interneuron	Functions in locomotion: After animals are removed from bacterial food, they initiate a local search behavior consisting of reversals and deep omega-shaped turns. This is followed by dispersal ~30 min later as reversal and turns are suppressed. Local search behavior is triggered by AWC olfactory neurons, ASK gustatory neurons, and AIB interneurons while dispersal is promoted by ASI gustatory neurons and AIY interneurons (Gray et al., 2005). Downstream of AIB and AIY, motor neuron sdefine specific aspects of reversal and turn frequency, amplitude, and directionality. SMD motor neurons define the steep amplitude of omega turns, RIV motor neurons specify the ventral bias of turns that follow a reversal, and SMB motor neurons set the amplitude of sinusoidal movement.
218	RMDDL	Ring motor neuron/interneuron, many synapses	 
219	RMDDR	Ring motor neuron/interneuron, many synapses	 
220	RMDL	Ring motor neuron/interneuron, many synapses	 
221	RMDR	Ring motor neuron/interneuron, many synapses	 
222	RMDVL	Ring motor neuron/interneuron, many synapses	 
223	RMDVR	Ring motor neuron/interneuron, many synapses	 
